sample_date,southern_cpml,northern_cpml,southern_7day,northern_7day,southern_low,northern_low,southern_hi,northern_hi,southern_var,northern_var
3/1/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/2/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/3/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/4/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/5/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/6/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/7/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/8/2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/9/2020,NA,29,NA,NA,NA,NA,9,14,NA,NA
3/10/2020,38,15,NA,21,12,17,5,7,NA,NA
3/11/2020,31,65,34,31,10,15,21,30,NA,NA
3/12/2020,25,36,31,32,8,12,11,17,NA,NA
3/13/2020,NA,NA,31,32,0,0,0,0,NA,NA
3/14/2020,16,27,26,31,5,7,9,13,NA,NA
3/15/2020,39,53,28,34,12,18,17,25,NA,NA
3/16/2020,33,23,29,32,10,15,7,11,NA,NA
3/17/2020,106,78,35,43,33,49,24,36,NA,NA
3/18/2020,65,45,39,40,21,30,14,21,NA,NA
3/19/2020,19,49,37,42,6,9,16,23,NA,NA
3/20/2020,NA,NA,37,42,0,0,0,0,NA,NA
3/21/2020,NA,NA,44,46,0,0,0,0,NA,NA
3/22/2020,NA,NA,45,45,0,0,0,0,NA,NA
3/23/2020,146,380,66,90,46,68,120,176,NA,NA
3/24/2020,NA,321,56,129,0,0,102,148,NA,NA
3/25/2020,30,228,43,192,9,14,72,105,NA,NA
3/26/2020,370,39,117,182,117,171,12,18,NA,NA
3/27/2020,34,299,86,201,11,16,95,138,NA,NA
3/28/2020,NA,NA,86,201,0,0,0,0,NA,NA
3/29/2020,NA,NA,86,201,0,0,0,0,NA,NA
3/30/2020,46,219,64,180,15,21,69,101,NA,NA
3/31/2020,NA,NA,64,155,0,0,0,0,NA,NA
4/1/2020,143,475,95,187,45,66,150,220,NA,NA
4/2/2020,NA,NA,61,315,0,0,0,0,NA,NA
4/3/2020,233,438,116,357,74,108,138,202,NA,NA
4/4/2020,NA,NA,116,357,0,0,0,0,NA,NA
4/5/2020,NA,NA,116,357,0,0,0,0,NA,NA
4/6/2020,NA,NA,182,456,0,0,0,0,NA,NA
4/7/2020,310,562,218,489,98,143,178,260,NA,NA
4/8/2020,NA,NA,269,496,0,0,0,0,NA,NA
4/9/2020,501,784,331,578,158,231,248,362,NA,NA
4/10/2020,NA,NA,394,664,0,0,0,0,NA,NA
4/11/2020,NA,NA,394,664,0,0,0,0,NA,NA
4/12/2020,NA,NA,394,664,0,0,0,0,NA,NA
4/13/2020,NA,NA,394,664,0,0,0,0,NA,NA
4/14/2020,389,702,441,742,123,180,222,324,NA,NA
4/15/2020,NA,NA,441,742,0,0,0,0,NA,NA
4/16/2020,138,321,232,474,44,64,101,148,NA,NA
4/17/2020,164,360,206,433,52,76,114,166,NA,NA
4/18/2020,NA,NA,206,433,0,0,0,0,NA,NA
4/19/2020,NA,NA,206,433,0,0,0,0,NA,NA
4/20/2020,NA,NA,206,433,0,0,0,0,NA,NA
4/21/2020,NA,NA,150,340,0,0,0,0,NA,NA
4/22/2020,220,541,171,397,70,102,171,250,NA,NA
4/23/2020,179,283,186,381,57,83,90,131,NA,NA
4/24/2020,NA,NA,199,391,0,0,0,0,NA,NA
4/25/2020,NA,NA,199,391,0,0,0,0,NA,NA
4/26/2020,NA,NA,199,391,0,0,0,0,NA,NA
4/27/2020,130,NA,173,391,41,60,0,0,NA,NA
4/28/2020,97,293,149,355,31,45,93,135,NA,NA
4/29/2020,NA,NA,131,288,0,0,0,0,NA,NA
4/30/2020,NA,NA,112,293,0,0,0,0,NA,NA
5/1/2020,NA,NA,112,293,0,0,0,0,NA,NA
5/2/2020,NA,NA,112,293,0,0,0,0,NA,NA
5/3/2020,209,93,138,165,66,96,29,43,NA,NA
5/4/2020,NA,NA,142,165,0,0,0,0,NA,NA
5/5/2020,97,94,142,94,31,45,30,44,NA,NA
5/6/2020,5,22,47,58,2,2,7,10,NA,NA
5/7/2020,NA,NA,47,58,0,0,0,0,NA,NA
5/8/2020,NA,NA,47,58,0,0,0,0,NA,NA
5/9/2020,NA,NA,47,58,0,0,0,0,NA,NA
5/10/2020,NA,NA,22,46,0,0,0,0,NA,NA
5/11/2020,164,NA,43,46,52,76,0,0,NA,NA
5/12/2020,NA,NA,29,22,0,0,0,0,NA,NA
5/13/2020,NA,NA,NA,NA,0,0,0,0,NA,NA
5/14/2020,NA,NA,NA,NA,0,0,0,0,NA,NA
5/15/2020,NA,NA,NA,NA,0,0,0,0,NA,NA
5/16/2020,NA,NA,NA,NA,0,0,0,0,NA,NA
5/17/2020,NA,NA,NA,NA,0,0,0,0,NA,NA
5/18/2020,NA,NA,NA,NA,0,0,0,0,NA,NA
5/19/2020,NA,NA,NA,NA,0,0,0,0,NA,NA
5/20/2020,NA,NA,NA,NA,0,0,0,0,NA,NA
5/21/2020,82,42,NA,NA,26,38,13,20,NA,NA
5/22/2020,426,244,NA,NA,135,197,77,113,NA,NA
5/23/2020,77,69,NA,NA,24,36,22,32,NA,NA
5/24/2020,79,52,121,78,25,36,16,24,NA,NA
5/25/2020,66,42,107,69,21,31,13,19,NA,NA
5/26/2020,97,38,105,62,31,45,12,17,NA,NA
5/27/2020,197,81,115,65,62,91,26,37,NA,NA
5/28/2020,50,35,107,63,16,23,11,16,NA,NA
5/29/2020,28,49,73,50,9,13,15,22,NA,NA
5/30/2020,66,NA,71,47,21,31,0,0,NA,NA
5/31/2020,79,37,71,45,25,37,12,17,NA,NA
6/1/2020,82,60,73,48,26,38,19,28,NA,NA
6/2/2020,194,95,81,55,61,90,30,44,NA,NA
6/3/2020,35,40,63,49,11,16,13,18,NA,NA
6/4/2020,47,32,63,49,15,22,10,15,NA,NA
6/5/2020,44,45,67,48,14,20,14,21,NA,NA
6/6/2020,19,46,56,48,6,9,15,21,NA,NA
6/7/2020,24,27,47,45,8,11,8,12,NA,NA
6/8/2020,26,19,40,39,8,12,6,9,NA,NA
6/9/2020,52,167,33,42,16,24,53,77,NA,NA
6/10/2020,75,68,37,45,24,35,21,31,NA,NA
6/11/2020,40,134,36,56,13,19,42,62,NA,NA
6/12/2020,45,78,36,60,14,21,25,36,NA,NA
6/13/2020,77,180,44,73,24,36,57,83,NA,NA
6/14/2020,36,NA,47,86,11,17,0,0,NA,NA
6/15/2020,38,141,50,120,12,17,45,65,NA,NA
6/16/2020,60,118,51,113,19,28,37,55,NA,NA
6/17/2020,19,13,42,86,6,9,4,6,NA,NA
6/18/2020,16,21,37,63,5,7,7,10,NA,NA
6/19/2020,11,37,30,56,3,5,12,17,NA,NA
6/20/2020,12,25,23,40,4,5,8,11,NA,NA
6/21/2020,22,26,21,38,7,10,8,12,NA,NA
6/22/2020,24,NA,20,30,8,11,0,0,NA,NA
6/23/2020,16,22,17,23,5,8,7,10,NA,NA
6/24/2020,5,10,14,22,2,2,3,4,NA,NA
6/25/2020,9,16,12,21,3,4,5,7,NA,NA
6/26/2020,9,11,12,17,3,4,4,5,NA,NA
6/27/2020,20,15,13,16,6,9,5,7,NA,NA
6/28/2020,8,19,11,15,2,4,6,9,NA,NA
6/29/2020,20,15,11,15,6,9,5,7,NA,NA
6/30/2020,12,22,11,15,4,5,7,10,NA,NA
7/1/2020,15,27,12,17,5,7,8,12,NA,NA
