date,geoid,county,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2/1/2020,USA-25025,Suffolk,Massachusetts,1,0.14,0.02,0,0,0
2/2/2020,USA-25025,Suffolk,Massachusetts,0,0.14,0.02,0,0,0
2/3/2020,USA-25025,Suffolk,Massachusetts,0,0.14,0.02,0,0,0
2/4/2020,USA-25025,Suffolk,Massachusetts,0,0.14,0.02,0,0,0
2/5/2020,USA-25025,Suffolk,Massachusetts,0,0.14,0.02,0,0,0
2/6/2020,USA-25025,Suffolk,Massachusetts,0,0.14,0.02,0,0,0
2/7/2020,USA-25025,Suffolk,Massachusetts,0,0.14,0.02,0,0,0
2/8/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/9/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/10/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/11/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/12/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/13/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/14/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/15/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/16/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/17/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/18/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/19/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/20/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/21/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/22/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/23/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/24/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/25/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/26/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/27/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/28/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
2/29/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
3/1/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
3/2/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
3/3/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
3/4/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
3/5/2020,USA-25025,Suffolk,Massachusetts,0,0,0,0,0,0
3/6/2020,USA-25025,Suffolk,Massachusetts,3,0.43,0.05,0,0,0
3/7/2020,USA-25025,Suffolk,Massachusetts,0,0.43,0.05,0,0,0
3/8/2020,USA-25025,Suffolk,Massachusetts,5,1,0.12,0,0,0
3/9/2020,USA-25025,Suffolk,Massachusetts,1,1,0.12,0,0,0
3/10/2020,USA-25025,Suffolk,Massachusetts,10,1.9,0.24,0,0,0
3/11/2020,USA-25025,Suffolk,Massachusetts,0,1.9,0.24,0,0,0
3/12/2020,USA-25025,Suffolk,Massachusetts,2,1.75,0.22,0,0,0
3/13/2020,USA-25025,Suffolk,Massachusetts,4,3.14,0.39,0,0,0
3/14/2020,USA-25025,Suffolk,Massachusetts,1,2.88,0.36,0,0,0
3/15/2020,USA-25025,Suffolk,Massachusetts,4,3.14,0.39,0,0,0
3/16/2020,USA-25025,Suffolk,Massachusetts,11,4.57,0.57,0,0,0
3/17/2020,USA-25025,Suffolk,Massachusetts,0,4.57,0.57,0,0,0
3/18/2020,USA-25025,Suffolk,Massachusetts,9,3.88,0.48,0,0,0
3/19/2020,USA-25025,Suffolk,Massachusetts,21,7.14,0.89,0,0,0
3/20/2020,USA-25025,Suffolk,Massachusetts,15,8.71,1.08,1,0.14,0.02
3/21/2020,USA-25025,Suffolk,Massachusetts,21,11.57,1.44,0,0.14,0.02
3/22/2020,USA-25025,Suffolk,Massachusetts,18,13.57,1.69,1,0.22,0.03
3/23/2020,USA-25025,Suffolk,Massachusetts,28,16,1.99,1,0.3,0.04
3/24/2020,USA-25025,Suffolk,Massachusetts,80,24,2.99,0,0.3,0.04
3/25/2020,USA-25025,Suffolk,Massachusetts,108,41.57,5.17,0,0.3,0.04
3/26/2020,USA-25025,Suffolk,Massachusetts,106,53.71,6.68,1,0.31,0.04
3/27/2020,USA-25025,Suffolk,Massachusetts,183,77.71,9.67,0,0.31,0.04
3/28/2020,USA-25025,Suffolk,Massachusetts,212,105,13.06,1,0.5,0.06
3/29/2020,USA-25025,Suffolk,Massachusetts,97,116.29,14.47,0,0.5,0.06
3/30/2020,USA-25025,Suffolk,Massachusetts,175,137.29,17.08,2,0.57,0.07
3/31/2020,USA-25025,Suffolk,Massachusetts,258,162.71,20.24,1,0.63,0.08
4/1/2020,USA-25025,Suffolk,Massachusetts,251,183.14,22.78,7,1.33,0.17
4/2/2020,USA-25025,Suffolk,Massachusetts,272,206.86,25.73,6,2.43,0.3
4/3/2020,USA-25025,Suffolk,Massachusetts,287,221.71,27.58,2,2.38,0.3
4/4/2020,USA-25025,Suffolk,Massachusetts,246,226.57,28.18,5,3.29,0.41
4/5/2020,USA-25025,Suffolk,Massachusetts,229,245.43,30.53,1,3,0.37
4/6/2020,USA-25025,Suffolk,Massachusetts,271,259.14,32.24,4,3.71,0.46
4/7/2020,USA-25025,Suffolk,Massachusetts,316,267.43,33.27,9,4.86,0.6
4/8/2020,USA-25025,Suffolk,Massachusetts,355,282.29,35.11,8,5,0.62
